index,feature_name
0,level_TankA
1,level_TankB
2,level_sum
80,AR_6h_569
81,log1p_AR_6h_569
176,RN_60m_368_roll_max_6
206,TA_541_roll_max_12
318,RN_15m_541_roll_IQR_24
419,HM_541_roll_slope_12
429,TA_368_roll_slope_24
430,TD_368_roll_slope_24
431,HM_368_roll_slope_24
433,TD_541_roll_slope_24
436,TD_569_roll_slope_24
443,RN_60m_569_roll_slope_24
445,TD_368_roll_slope_48
446,HM_368_roll_slope_48
448,TD_541_roll_slope_48
450,TA_569_roll_slope_48
536,HM_368_lag_24steps
542,HM_541_lag_24steps
558,TA_541_lag_48steps
572,HM_368_lag_72steps
576,TA_541_lag_72steps
578,HM_541_lag_72steps
584,HM_569_lag_72steps
594,d_TA_541
600,d_TA_569
603,hour
607,hour_sin
608,hour_cos
